	SampleID	Phylum	RA	Comparts	TreatmentID	Treatment
1	Bulk1	Gammaproteobacteria	5.04587156	Bulk_soil	CK1	CK
2	Bulk1	Betaproteobacteria	15.25229358	Bulk_soil	CK1	CK
3	Bulk1	Actinobacteria	22.59174312	Bulk_soil	CK1	CK
4	Bulk1	Alphaproteobacteria	18.34862385	Bulk_soil	CK1	CK
5	Bulk1	Deltaproteobacteria	9.97706422	Bulk_soil	CK1	CK
6	Bulk1	Gemmatimonadetes	1.605504587	Bulk_soil	CK1	CK
7	Bulk1	Firmicutes	16.85779817	Bulk_soil	CK1	CK
8	Bulk1	Bacteroidetes	3.096330275	Bulk_soil	CK1	CK
9	Bulk1	Acidobacteria	0.344036697	Bulk_soil	CK1	CK
10	Bulk1	Ignavibacteriae	0.802752294	Bulk_soil	CK1	CK
11	Bulk1	Nitrospirae	1.376146789	Bulk_soil	CK1	CK
12	Bulk1	Low_Abundance	4.701834862	Bulk_soil	CK1	CK
13	Bulk2	Gammaproteobacteria	7.45412844	Bulk_soil	CK2	CK
14	Bulk2	Betaproteobacteria	11.00917431	Bulk_soil	CK2	CK
15	Bulk2	Actinobacteria	31.76605505	Bulk_soil	CK2	CK
16	Bulk2	Alphaproteobacteria	22.93577982	Bulk_soil	CK2	CK
17	Bulk2	Deltaproteobacteria	8.486238532	Bulk_soil	CK2	CK
18	Bulk2	Gemmatimonadetes	1.605504587	Bulk_soil	CK2	CK
19	Bulk2	Firmicutes	13.30275229	Bulk_soil	CK2	CK
20	Bulk2	Bacteroidetes	0.688073394	Bulk_soil	CK2	CK
21	Bulk2	Acidobacteria	0.229357798	Bulk_soil	CK2	CK
22	Bulk2	Ignavibacteriae	0.114678899	Bulk_soil	CK2	CK
23	Bulk2	Nitrospirae	0.802752294	Bulk_soil	CK2	CK
24	Bulk2	Low_Abundance	1.605504587	Bulk_soil	CK2	CK
25	Bulk3	Gammaproteobacteria	7.683486239	Bulk_soil	CK3	CK
26	Bulk3	Betaproteobacteria	21.21559633	Bulk_soil	CK3	CK
27	Bulk3	Actinobacteria	27.86697248	Bulk_soil	CK3	CK
28	Bulk3	Alphaproteobacteria	20.87155963	Bulk_soil	CK3	CK
29	Bulk3	Deltaproteobacteria	9.518348624	Bulk_soil	CK3	CK
30	Bulk3	Gemmatimonadetes	1.834862385	Bulk_soil	CK3	CK
31	Bulk3	Firmicutes	5.733944954	Bulk_soil	CK3	CK
32	Bulk3	Bacteroidetes	2.752293578	Bulk_soil	CK3	CK
33	Bulk3	Acidobacteria	0.229357798	Bulk_soil	CK3	CK
34	Bulk3	Ignavibacteriae	0.802752294	Bulk_soil	CK3	CK
35	Bulk3	Nitrospirae	0.802752294	Bulk_soil	CK3	CK
36	Bulk3	Low_Abundance	0.688073394	Bulk_soil	CK3	CK
37	Bulk4	Gammaproteobacteria	8.027522936	Bulk_soil	CK4	CK
38	Bulk4	Betaproteobacteria	19.72477064	Bulk_soil	CK4	CK
39	Bulk4	Actinobacteria	29.58715596	Bulk_soil	CK4	CK
40	Bulk4	Alphaproteobacteria	20.06880734	Bulk_soil	CK4	CK
41	Bulk4	Deltaproteobacteria	9.288990826	Bulk_soil	CK4	CK
42	Bulk4	Gemmatimonadetes	1.376146789	Bulk_soil	CK4	CK
43	Bulk4	Firmicutes	5.848623853	Bulk_soil	CK4	CK
44	Bulk4	Bacteroidetes	2.866972477	Bulk_soil	CK4	CK
45	Bulk4	Acidobacteria	0.114678899	Bulk_soil	CK4	CK
46	Bulk4	Ignavibacteriae	0.458715596	Bulk_soil	CK4	CK
47	Bulk4	Nitrospirae	1.376146789	Bulk_soil	CK4	CK
48	Bulk4	Low_Abundance	1.26146789	Bulk_soil	CK4	CK
49	Bulk1	Gammaproteobacteria	7.45412844	Bulk_soil	Xs1	Xs
50	Bulk1	Betaproteobacteria	19.95412844	Bulk_soil	Xs1	Xs
51	Bulk1	Actinobacteria	27.29357798	Bulk_soil	Xs1	Xs
52	Bulk1	Alphaproteobacteria	20.06880734	Bulk_soil	Xs1	Xs
53	Bulk1	Deltaproteobacteria	7.568807339	Bulk_soil	Xs1	Xs
54	Bulk1	Gemmatimonadetes	1.490825688	Bulk_soil	Xs1	Xs
55	Bulk1	Firmicutes	9.747706422	Bulk_soil	Xs1	Xs
56	Bulk1	Bacteroidetes	1.376146789	Bulk_soil	Xs1	Xs
57	Bulk1	Acidobacteria	0.114678899	Bulk_soil	Xs1	Xs
58	Bulk1	Ignavibacteriae	0.344036697	Bulk_soil	Xs1	Xs
59	Bulk1	Nitrospirae	0.229357798	Bulk_soil	Xs1	Xs
60	Bulk1	Low_Abundance	4.357798165	Bulk_soil	Xs1	Xs
61	Bulk2	Gammaproteobacteria	5.619266055	Bulk_soil	Xs2	Xs
62	Bulk2	Betaproteobacteria	18.80733945	Bulk_soil	Xs2	Xs
63	Bulk2	Actinobacteria	30.16055046	Bulk_soil	Xs2	Xs
64	Bulk2	Alphaproteobacteria	19.49541284	Bulk_soil	Xs2	Xs
65	Bulk2	Deltaproteobacteria	7.45412844	Bulk_soil	Xs2	Xs
66	Bulk2	Gemmatimonadetes	2.752293578	Bulk_soil	Xs2	Xs
67	Bulk2	Firmicutes	10.20642202	Bulk_soil	Xs2	Xs
68	Bulk2	Bacteroidetes	0.802752294	Bulk_soil	Xs2	Xs
69	Bulk2	Acidobacteria	0.458715596	Bulk_soil	Xs2	Xs
70	Bulk2	Ignavibacteriae	0.802752294	Bulk_soil	Xs2	Xs
