diff	lwr	upr	p adj
Xs_c-CK_m	1.89624630445	0.501568720608655	3.29092388829134	0.00231200820727495
CK_m-CK_c	-1.69946549767857	-3.00258693921578	-0.396344056141353	0.00383755748788184
Xs_f-Xs_c	-1.3017758372	-2.56071075422355	-0.0428409201764492	0.0383913880500022
Xs_c-CK_f	1.20271625903333	-0.0562186579902169	2.46165117605688	0.0699187110212188
Xs_f-CK_c	-1.10499503042857	-2.26167867508929	0.0516886142321455	0.0699347470033858
Xs_y-CK_m	1.24647678658333	-0.0955523441892292	2.58850591735589	0.0847790757473404
CK_f-CK_c	-1.0059354522619	-2.16261909692262	0.150748192398812	0.127735091721233
Xs_m-CK_m	1.207728407	-0.262390848506366	2.67784766250636	0.174545121257363
CK_y-CK_m	1.03533978358333	-0.306689347189229	2.37736891435589	0.236024123474929
Xs_c-CK_y	0.860906520866666	-0.398028396156884	2.11984143789022	0.376204984578023
CK_y-CK_c	-0.664125714095237	-1.82080935875595	0.492557930565479	0.59440815482721
Xs_y-Xs_f	0.652006319333333	-0.548341026343626	1.85235366501029	0.65805635651625
CK_m-CK_f	-0.693530045416663	-2.03555917618922	0.648499085355896	0.710620726752731
Xs_y-Xs_c	-0.649769517866666	-1.90870443489022	0.609165399156884	0.711886533694018
Xs_m-Xs_c	-0.68851789745	-2.08319548129134	0.706159686391342	0.75442400458625
Xs_y-CK_f	0.552946741166667	-0.647400604510292	1.75329408684363	0.812074470805818
Xs_m-Xs_f	0.61325793975	-0.72877119102256	1.95528707052256	0.818092128749355
Xs_f-CK_m	0.594470467249997	-0.747558663522562	1.93649959802256	0.840036368417192
Xs_y-CK_c	-0.452988711095238	-1.60967235575595	0.703694933565479	0.907623706409481
Xs_m-CK_f	0.514198361583333	-0.827830769189226	1.85622749235589	0.916732790045661
Xs_m-CK_c	-0.491737090678571	-1.79485853221579	0.811384350858644	0.922622977135338
Xs_f-CK_y	-0.440869316333333	-1.64121666201029	0.759478029343626	0.932205206747403
CK_y-CK_f	0.341809738166667	-0.858537607510292	1.54215708384363	0.982540435424847
Xs_y-CK_y	0.211137003	-0.98921034267696	1.41148434867696	0.999086995826612
Xs_c-CK_c	0.196780806771429	-1.02059359284973	1.41415520639259	0.999473093669504
Xs_m-CK_y	0.172388623416666	-1.16964050735589	1.51441775418923	0.99988526193375
Xs_f-CK_f	-0.0990595781666661	-1.29940692384363	1.10128776751029	0.999994351297312
Xs_y-Xs_m	0.0387483795833337	-1.30328075118923	1.38077751035589	0.99999999617595
