Root_endosphere,Shannon,Development stage,Anova
CK,2.177625751,Seedling,CK_m
CK,2.207123677,Seedling,CK_m
CK,1.769231727,Seedling,CK_m
CK,1.926117304,Seedling,CK_m
Xs,3.254385229,Seedling,Xs_m
Xs,3.448998235,Seedling,Xs_m
Xs,3.05720475,Seedling,Xs_m
Xs,3.150423873,Seedling,Xs_m
CK,2.761597742,Tillering,CK_f
CK,2.701311771,Tillering,CK_f
CK,2.884569499,Tillering,CK_f
CK,2.176379988,Tillering,CK_f
CK,2.585742775,Tillering,CK_f
CK,3.171726186,Tillering,CK_f
Xs,2.825525772,Tillering,Xs_f
Xs,3.033778133,Tillering,Xs_f
Xs,0.960001396,Tillering,Xs_f
Xs,2.678697051,Tillering,Xs_f
Xs,2.722397765,Tillering,Xs_f
Xs,3.466570375,Tillering,Xs_f
CK,2.865830456,Booting,CK_y
CK,3.526133938,Booting,CK_y
CK,3.881608956,Booting,CK_y
CK,3.570263917,Booting,CK_y
CK,3.440788155,Booting,CK_y
CK,1.047560968,Booting,CK_y
Xs,3.86296246,Booting,Xs_y
Xs,3.647207924,Booting,Xs_y
Xs,2.137507962,Booting,Xs_y
Xs,3.957222979,Booting,Xs_y
Xs,2.450166019,Booting,Xs_y
Xs,3.543941064,Booting,Xs_y
CK,3.374605307,Maturity,CK_c
CK,3.191969902,Maturity,CK_c
CK,2.97146595,Maturity,CK_c
CK,4.320432735,Maturity,CK_c
CK,4.09809214,Maturity,CK_c
CK,3.88467173,Maturity,CK_c
CK,4.195193023,Maturity,CK_c
Xs,4.366841987,Maturity,Xs_c
Xs,3.74442211,Maturity,Xs_c
Xs,3.485717836,Maturity,Xs_c
Xs,3.814599867,Maturity,Xs_c
Xs,4.169772796,Maturity,Xs_c
