,RLbM1,RLbM2,RLbM3,RLbM4,RXsM1,RXsM2,RXsM3,RXsM4
Burkholderia,2292,3784,10239,3085,14890,5547,10139,3852
Pantoea,9023,1602,2721,4275,7119,2516,1016,747
unassigned,3955,641,851,467,5543,1587,2422,1207
Herbaspirillum,191,73,205,95,5994,1813,3433,1730
Pseudomonas,868,205,85,79,1749,920,1222,281
Sideroxydans,21,38,19,16,1349,1042,818,530
Bacillus,0,0,0,1,1301,784,1124,203
Leifsonia,133,93,217,90,1059,524,828,384
Pandoraea,40,14,16,13,1431,774,600,375
Chitinophaga,1,1,0,0,1829,319,767,205
Rhodanobacter,210,163,93,41,757,1145,488,145
Massilia,15,30,33,31,1078,862,409,222
Xanthomonas,5,0,0,0,1147,355,712,319
Simplicispira,8,1,3,2,1580,233,404,193
Methylobacterium,188,94,234,211,561,144,374,93
Stenotrophomonas,1207,82,24,10,189,82,165,27
Cellulomonas,39,23,23,39,629,332,318,222
Asticcacaulis,143,77,71,131,500,156,230,53
Dechloromonas,0,95,12,1,346,623,192,55
Thiomonas,5,7,13,1,253,462,180,72
Azospirillum,7,1,12,18,427,58,337,54
Curtobacterium,48,63,231,112,171,48,155,65
Azospira,0,0,0,0,535,51,78,55
Chryseoglobus,45,27,61,54,178,105,112,75
Chryseobacterium,310,3,8,1,31,1,222,6
Lysinimonas,56,33,48,9,112,73,60,30
Novosphingobium,26,16,32,29,136,12,143,25
Mucilaginibacter,7,1,1,13,210,38,125,12
Devosia,33,17,43,17,122,91,48,13
Salinibacterium,40,24,43,21,87,63,57,21
Arthrobacter,9,1,5,1,151,70,53,36
Achromobacter,29,2,8,8,97,28,99,18
Bradyrhizobium,24,25,20,15,91,43,45,20
Nocardioides,10,20,18,12,90,42,58,33
Rhizobium,79,13,58,15,66,11,25,15
Ferritrophicum,4,5,1,3,75,29,33,68
Dyadobacter,31,5,8,7,76,14,22,9
Geobacter,0,2,0,1,51,7,67,33
Mesorhizobium,9,4,1,0,74,13,37,15
Phyllobacterium,7,5,8,6,29,21,34,9
Phenylobacterium,4,0,1,1,80,4,15,10
Aquaspirillum,0,2,0,1,52,15,26,15
Sphingomonas,10,6,8,7,26,11,37,2
Clostridium_sensu_stricto,0,0,0,1,20,10,47,25
Dyella,5,3,2,0,29,33,16,14
Acidovorax,83,3,4,0,0,2,1,0
Aquincola,0,1,0,0,43,23,14,10
Pseudolabrys,9,5,5,2,39,12,12,6
Sphingobacterium,68,4,6,2,1,0,7,0
Caulobacter,3,2,3,3,38,10,22,3
Serratia,5,5,44,7,7,2,2,2
Bosea,4,0,7,2,24,13,17,4
Microbacterium,4,3,2,7,15,7,32,0
Planococcus,0,0,0,0,38,15,12,5
Gemmatimonas,8,10,2,1,19,11,7,8
Ralstonia,0,5,3,0,8,5,34,4
Geothrix,1,0,1,0,19,8,7,19
Neorhizobium,0,1,0,0,26,9,15,3
Aneurinibacillus,0,0,0,0,9,0,35,2
Paenibacillus,8,1,0,14,6,3,10,1
Desulfosporosinus,0,0,0,0,3,4,17,17
Labedella,4,3,0,2,5,6,10,6
Bordetella,0,1,2,0,11,7,3,5
Brucella,6,1,4,2,7,1,4,3
Pseudacidovorax,4,0,8,0,5,3,7,1
Propionivibrio,0,0,1,0,3,5,10,7
Luteimicrobium,22,1,0,0,0,2,0,0
Yersinia,21,0,0,0,1,3,0,0
Cohnella,1,0,1,0,6,3,10,3
Porphyrobacter,2,0,3,2,3,7,6,1
Pedobacter,5,3,0,3,10,1,1,0
Variovorax,0,0,1,0,11,3,6,2
Acidothermus,1,2,5,0,5,3,5,1
Flavobacterium,0,0,0,0,19,2,1,0
Streptomyces,1,0,5,0,6,4,3,3
Comamonas,0,0,0,0,14,7,0,0
Cytophaga,3,0,0,1,15,1,0,0
Kineococcus,2,1,8,9,0,0,0,0
Delftia,1,1,0,1,6,6,3,1
Ramlibacter,1,0,1,1,4,4,7,1
Cryobacterium,2,0,2,1,6,1,6,0
Methylovirgula,1,0,0,0,8,4,2,3
Shinella,0,0,2,0,5,4,5,1
Jatrophihabitans,4,2,0,3,3,1,2,1
Aquabacterium,0,0,0,0,9,1,1,4
Janthinobacterium,1,1,0,0,4,1,6,2
Metallibacterium,1,3,3,1,2,3,1,1
Mycobacterium,4,0,1,2,1,2,4,1
Phycicoccus,1,0,0,0,9,2,1,2
Sulfuriferula,1,3,2,0,2,3,3,1
Acidisoma,2,1,0,0,4,6,1,0
Modestobacter,0,0,1,0,4,6,1,2
Herbiconiux,6,3,0,0,1,0,3,0
Rhodoferax,1,0,0,1,6,4,1,0
Alicyclobacillus,1,0,0,0,4,2,4,1
Aminobacter,1,0,0,2,3,1,5,0
Azoarcus,0,0,3,0,4,0,1,4
Clostridium_XlVa,0,0,0,0,0,0,12,0
Oxalophagus,0,0,0,0,4,3,4,1
Escherichia/Shigella,3,1,2,1,2,0,2,0
Gaiella,1,1,3,0,0,3,2,1
Gallionella,0,3,0,0,6,0,1,1
Hydrogenophaga,1,0,0,0,3,3,3,1
Noviherbaspirillum,0,0,0,0,5,1,4,1
Rhodopseudomonas,0,0,0,0,8,1,2,0
Altererythrobacter,2,0,3,2,2,0,0,1
Herminiimonas,0,0,0,2,6,1,0,1
Demequina,1,0,0,0,0,4,2,2
Roseiarcus,0,1,0,0,3,1,4,0
Silanimonas,1,2,1,0,2,3,0,0
Sphingobium,2,0,0,1,6,0,0,0
Conexibacter,0,0,1,0,1,2,3,1
Ewingella,0,0,0,0,6,1,1,0
Flavisolibacter,0,0,0,0,4,2,2,0
Gryllotalpicola,0,0,0,0,2,1,5,0
Legionella,1,1,2,0,3,1,0,0
Leucobacter,0,0,0,0,4,1,2,1
Luteimonas,0,0,2,0,0,1,4,1
Nitrosospira,0,0,0,0,1,3,4,0
Armatimonas/Armatimonadetes_gp1,1,0,2,2,2,0,0,0
Dongia,0,0,0,5,0,1,1,0
Methylosinus,0,0,0,0,1,2,3,1
Terrabacter,0,0,0,0,4,2,1,0
Azonexus,0,0,0,0,5,1,0,0
Ferrovum,0,0,0,0,2,1,1,2
Sporichthya,0,0,1,0,4,1,0,0
Beijerinckia,0,0,1,0,4,0,0,0
Blastococcus,0,0,0,0,1,0,0,4
Brevundimonas,2,1,0,0,0,1,0,1
Desulfitobacterium,0,0,0,0,0,3,1,1
Formivibrio,0,0,1,0,2,0,0,2
Gemmobacter,0,0,0,0,5,0,0,0
Pseudonocardia,0,0,0,0,5,0,0,0
Sporosarcina,0,0,0,0,4,0,0,1
Actinospica,1,0,0,0,1,0,2,0
Angustibacter,1,0,0,0,0,1,2,0
Buttiauxella,2,0,0,1,1,0,0,0
Flavihumibacter,0,0,0,0,3,0,1,0
Lysobacter,0,0,1,0,2,1,0,0
Microvirga,0,0,0,0,0,4,0,0
Pleomorphomonas,0,0,0,0,0,3,1,0
Sulfuricella,0,0,2,0,0,0,1,1
Diaminobutyricibacter,0,1,0,0,1,0,0,1
Fluviicola,0,0,0,0,3,0,0,0
Kitasatospora,0,0,1,0,1,1,0,0
Methylocella,0,0,0,0,1,0,1,1
Methylophilus,0,1,0,0,1,0,1,0
Polaromonas,0,1,0,0,0,2,0,0
Pseudochrobactrum,0,0,1,0,1,0,1,0
Renibacterium,2,0,0,0,1,0,0,0
Rhodoplanes,0,0,0,1,1,0,1,0
Aeromonas,0,0,0,0,1,0,0,1
Alcaligenes,0,0,0,1,1,0,0,0
Amnibacterium,0,0,0,0,2,0,0,0
Arenimonas,0,0,0,0,0,2,0,0
Aureimonas,1,0,1,0,0,0,0,0
Catenulispora,0,0,0,1,1,0,0,0
Ensifer,0,0,0,0,2,0,0,0
Falsibacillus,0,0,0,0,0,0,2,0
Geodermatophilus,0,0,1,1,0,0,0,0
Georgenia,0,0,2,0,0,0,0,0
Haematobacter,0,0,0,0,1,1,0,0
Macrococcus,0,0,0,0,1,1,0,0
Nakamurella,0,0,0,0,0,0,2,0
Obesumbacterium,0,0,0,0,2,0,0,0
Pelomonas,0,0,1,0,1,0,0,0
Promicromonospora,0,1,0,0,0,1,0,0
Quadrisphaera,0,0,0,0,1,1,0,0
Thiobacillus,0,1,0,0,1,0,0,0
Vogesella,0,0,0,0,1,1,0,0
Acidiphilium,0,0,0,0,0,1,0,0
Acidocella,0,0,0,0,0,1,0,0
Acinetobacter,0,0,0,0,1,0,0,0
Actinoplanes,0,0,1,0,0,0,0,0
Cellulosimicrobium,0,0,0,0,0,0,0,1
Clavibacter,0,0,0,0,1,0,0,0
Desulfopila,0,0,0,1,0,0,0,0
Dokdonella,0,1,0,0,0,0,0,0
Enterococcus,0,0,0,0,0,0,1,0
Gracilibacter,0,0,0,0,1,0,0,0
Haliangium,0,0,0,0,1,0,0,0
Hyphomicrobium,0,0,0,0,1,0,0,0
Kaistia,0,0,0,0,1,0,0,0
Kutzneria,1,0,0,0,0,0,0,0
Labrys,0,0,0,0,1,0,0,0
Lapillicoccus,0,0,0,0,1,0,0,0
Lechevalieria,0,0,0,0,1,0,0,0
Macellibacteroides,0,0,0,0,1,0,0,0
Melioribacter,0,0,0,0,0,1,0,0
Methylobacillus,0,0,0,0,0,0,1,0
Methylocystis,0,1,0,0,0,0,0,0
Nesterenkonia,0,0,0,0,1,0,0,0
Nevskia,0,0,1,0,0,0,0,0
Prolixibacter,0,1,0,0,0,0,0,0
Psychrosinus,0,0,0,0,0,0,0,1
Roseomonas,0,0,0,0,0,0,1,0
Rubellimicrobium,0,0,0,0,0,1,0,0
Rudaea,1,0,0,0,0,0,0,0
Solirubrobacter,0,0,0,0,1,0,0,0
Streptacidiphilus,0,0,0,0,1,0,0,0
Tardiphaga,0,0,0,0,0,1,0,0
Telmatospirillum,0,0,0,0,0,0,0,1
Terrimonas,1,0,0,0,0,0,0,0
Undibacterium,0,0,0,0,0,0,1,0
Variibacter,0,0,0,0,0,0,1,0
