sample2	Selection		Dispersal		Drift.and.Others	
1	52.25%	44.88%！！86.56%	33.05%	1.43%！！33.05%	14.71%	6.16%！！34.54%
1	44.88%		40.59%		14.53%	
1	64.03%		1.43%		34.54%	
1	82.87%		6.65%		10.48%	
1	83.08%		4.10%		12.82%	
1	86.56%		7.28%		6.16%	
2	38.40%	23.54%！！54.63%	4.61%	4.61%！！39.21%	56.99%	31.05%！！56.99%
2	39.31%		9.44%		51.24%	
2	54.63%		14.32%		31.05%	
2	45.81%		15.25%		38.94%	
2	45.85%		6.03%		48.11%	
2	35.01%		30.15%		34.84%	
2	23.54%		25.31%		51.15%	
2	41.45%		28.88%		29.67%	
2	37.95%		30.67%		31.39%	
2	33.27%		39.21%		27.52%	
2	41.72%		12.60%		45.68%	
2	39.40%		5.08%		55.52%	
2	30.57%		16.37%		53.07%	
2	29.40%		16.11%		54.49%	
2	38.59%		5.95%		55.47%	
3	14.64%	9.05%！！73.46%	32.19%	13.8%！！73.22%	53.17%	10.63%！！69.56%
3	27.33%		28.59%		44.08%	
3	17.06%		13.80%		69.14%	
3	16.48%		63.63%		19.89%	
3	9.05%		73.22%		17.73%	
3	20.61%		27.76%		51.63%	
3	15.85%		14.59%		69.56%	
3	50.35%		31.35%		18.30%	
3	9.53%		69.93%		20.54%	
3	25.12%		15.78%		59.10%	
3	46.19%		30.54%		23.27%	
3	26.61%		49.87%		23.52%	
3	52.97%		23.89%		23.14%	
3	12.71%		63.24%		24.05%	
3	73.46%		15.92%		10.63%	
4	39.40%	26.82%！！47.43%	10.67%	10.67%！！58.59%	49.93%	11.32%！！49.93%
4	28.91%		51.97%		19.12%	
4	29.49%		58.59%		11.92%	
4	30.41%		56.37%		13.22%	
4	40.33%		48.35%		11.32%	
4	32.09%		51.63%		16.29%	
4	36.25%		27.03%		36.72%	
4	28.99%		58.40%		12.61%	
4	35.32%		50.60%		14.08%	
4	28.98%		53.26%		17.77%	
4	30.76%		52.94%		16.29%	
4	35.04%		49.72%		15.24%	
4	26.82%		55.63%		17.55%	
4	29.30%		52.38%		18.32%	
4	47.43%		36.29%		16.29%	
