MethodID	sample1	sample2	Heterogeneous.Selection	Homogeneous.Selection	Dispersal.Limitation	Homogenizing.Dispersal	Drift.and.Others
CbMPDiCBraya	RXsY2	RXsY1	0	0.120276163	0.53568314	0.036991279	0.307049419
CbMPDiCBraya	RXsY3	RXsY1	0	0.079731572	0.638184331	0.024348677	0.257735419
CbMPDiCBraya	RXsY4	RXsY1	0.000944767	0.118531977	0.555668605	0.024563953	0.300290698
CbMPDiCBraya	RXsY5	RXsY1	0.000290708	0.09448209	0.578758722	0.019041374	0.307427106
CbMPDiCBraya	RXsY6	RXsY1	0	0.127979651	0.418677326	0.024273256	0.429069767
CbMPDiCBraya	RXsY3	RXsY2	0	0.178427828	0.516154811	0.029292144	0.276125217
CbMPDiCBraya	RXsY4	RXsY2	0	0.278561047	0.103924419	0.050218023	0.567296512
CbMPDiCBraya	RXsY5	RXsY2	0.000145359	0.132201318	0.116865441	0.030233488	0.720554394
CbMPDiCBraya	RXsY6	RXsY2	0	0.150581395	0.323401163	0.029215116	0.496802326
CbMPDiCBraya	RXsY4	RXsY3	0.001090433	0.160477606	0.561146172	0.02333151	0.253954279
CbMPDiCBraya	RXsY5	RXsY3	0.001090433	0.089336312	0.645194901	0.017082799	0.247295554
CbMPDiCBraya	RXsY6	RXsY3	0.001090433	0.103789425	0.556704601	0.045645663	0.292769878
CbMPDiCBraya	RXsY5	RXsY4	0.001526385	0.131111191	0.606743592	0.02565482	0.234964012
CbMPDiCBraya	RXsY6	RXsY4	0	0.13997093	0.383357558	0.01002907	0.466642442
CbMPDiCBraya	RXsY6	RXsY5	0.000508731	0.104220726	0.119044247	0.025727737	0.750498558
CbMPDiCBraya	RXsC2	RXsC1	0.000727104	0.36233832	0.083607932	0.086804454	0.466522191
CbMPDiCBraya	RXsC3	RXsC1	0.000799714	0.148614488	0.347382119	0.021521626	0.481682053
CbMPDiCBraya	RXsC4	RXsC1	0	0.189544642	0.586297104	0.047478103	0.176680151
CbMPDiCBraya	RXsC5	RXsC1	0.000799789	0.194039793	0.556593949	0.038749976	0.209816494
CbMPDiCBraya	RXsC6	RXsC1	0.001599767	0.336096568	0.081297266	0.162085515	0.418920884
CbMPDiCBraya	RXsC3	RXsC2	0	0.148067659	0.348335469	0.026749553	0.476847318
CbMPDiCBraya	RXsC4	RXsC2	0	0.205494545	0.570476493	0.060041759	0.163987203
CbMPDiCBraya	RXsC5	RXsC2	0	0.185782817	0.599941852	0.032998982	0.181276348
CbMPDiCBraya	RXsC6	RXsC2	0.000218087	0.365758923	0.039185388	0.097926556	0.496911047
CbMPDiCBraya	RXsC4	RXsC3	0	0.141610933	0.580401279	0.021299796	0.256687991
CbMPDiCBraya	RXsC5	RXsC3	0	0.240683186	0.5046057	0.006978297	0.247732816
CbMPDiCBraya	RXsC6	RXsC3	0	0.211571774	0.28755368	0.02239429	0.478480256
CbMPDiCBraya	RXsC5	RXsC4	0	0.360257212	0.095296311	0.04506731	0.499379166
CbMPDiCBraya	RXsC6	RXsC4	0.001672336	0.19870648	0.580480149	0.045587131	0.173553904
CbMPDiCBraya	RXsC6	RXsC5	0	0.182776031	0.594976345	0.032278317	0.189969307
CbMPDiCBraya	RXsM2	RXsM1	0.000581395	0.319912791	0.025072674	0.06119186	0.593241279
CbMPDiCBraya	RXsM3	RXsM1	0	0.215988372	0.033139535	0.056104651	0.694767442
CbMPDiCBraya	RXsM4	RXsM1	0	0.244912791	0.028270349	0.106613372	0.620203488
CbMPDiCBraya	RXsM3	RXsM2	0.000944767	0.214244186	0.203706395	0.026598837	0.554505814
CbMPDiCBraya	RXsM4	RXsM2	0	0.219186047	0.197383721	0.089752907	0.493677326
CbMPDiCBraya	RXsM4	RXsM3	0	0.159593023	0.023473837	0.093386628	0.723546512
CbMPDiCBraya	RXsF2	RXsF1	0	0.204447962	0.103348337	0.081691297	0.610512404
CbMPDiCBraya	RXsF3	RXsF1	0.002543605	0.024563953	0.699127907	0.029360465	0.24440407
CbMPDiCBraya	RXsF4	RXsF1	0	0.254360465	0.062936047	0.035392442	0.647311047
CbMPDiCBraya	RXsF5	RXsF1	0	0.348255814	0	0.090770349	0.560973837
CbMPDiCBraya	RXsF6	RXsF1	0	0.307194767	0.027107558	0.02994186	0.635755814
CbMPDiCBraya	RXsF3	RXsF2	0.003052769	0.01322816	0.63178845	0.054947766	0.296982855
CbMPDiCBraya	RXsF4	RXsF2	0.01700723	0.211572654	0.063010707	0.064467608	0.643941802
CbMPDiCBraya	RXsF5	RXsF2	0	0.156330017	0.006686955	0.071589521	0.765393507
CbMPDiCBraya	RXsF6	RXsF2	0.019042113	0.136490767	0.026599534	0.048331996	0.769535589
CbMPDiCBraya	RXsF4	RXsF3	0.009011628	0.073909884	0.052325581	0.02630814	0.838444767
CbMPDiCBraya	RXsF5	RXsF3	0	0.127834302	0.64752907	0.025436047	0.199200581
CbMPDiCBraya	RXsF6	RXsF3	0.011046512	0.100726744	0.631177326	0.036482558	0.22056686
CbMPDiCBraya	RXsF5	RXsF4	0	0.220857558	0	0.073328488	0.705813953
CbMPDiCBraya	RXsF6	RXsF4	0	0.193604651	0.021584302	0.045348837	0.739462209
CbMPDiCBraya	RXsF6	RXsF5	0.000872093	0.189026163	0.021656977	0.049563953	0.738880814
